codist,Countname,distname,year,four_day,perstuchar,leaid,urban,suburb,town,rural,perind,perasn,perhsp,perblk,perwht,perfrl,pernonfrl,perell,perspeced,member,stutch_all,sample,ever4day
02I093,ALFALFA,TIMBERLAKE,2013,0,0,4000013,0,0,0,1,.06857045,.020975832,.03636571,.018182855,.85590518,.47191012,.52808988,0,.19678715,178,11.410256,1,0
02I093,ALFALFA,TIMBERLAKE,2014,0,.3649635,4000013,0,0,0,1,.076710917,.016641734,.016641734,.016641734,.87336385,.48223349,.51776648,0,.20437956,197,11.005587,1,0
02I093,ALFALFA,TIMBERLAKE,2015,0,1.0672358,4000013,0,0,0,1,.054133568,.017358048,.032166325,.010199078,.88614303,.40196079,.59803921,0,.19217081,204,10.210211,1,0
02I093,ALFALFA,TIMBERLAKE,2010,0,0,4000013,0,0,0,1,.055555556,.018518519,.018518519,.018518519,.8888889,.53801167,.46198833,0,.21367522,171,13.15,1,0
03C021,ATOKA,HARMONY,2012,0,0,4013830,0,0,0,1,.26538226,0,.097133681,0,.63748401,.62561578,.37438422,.029556651,.20689656,203,12.530864,1,0
03C021,ATOKA,HARMONY,2009,0,0,4013830,0,0,0,1,.26717559,0,.068702288,.022900764,.64122134,.61440676,.38559324,0,0,236,13.7,1,0
03C021,ATOKA,HARMONY,2010,0,0,4013830,0,0,0,1,.30147058,0,.066176474,.014705882,.61764705,.68907565,.31092435,.033613447,.18487395,238,13.84,1,0
03C021,ATOKA,HARMONY,2015,0,0,4013830,0,0,0,1,.366698,0,.01566416,0,.61763781,.68095237,.31904763,.014285714,.33333334,210,14.613779,1,0
03C021,ATOKA,HARMONY,2013,0,.43859649,4013830,0,0,0,1,.29235196,0,.068667762,0,.63898027,.65350878,.34649122,.021929825,.27631578,228,15,1,0
03C021,ATOKA,HARMONY,2016,0,0,4013830,0,0,0,1,.366698,0,.01566416,0,.61763781,.68095237,.31904763,.014285714,.33333334,210,14.613779,1,0
03C021,ATOKA,HARMONY,2011,0,0,4013830,0,0,0,1,.27231547,0,.071143083,0,.65654141,.6523605,.3476395,0,.17596567,233,13.952095,1,0
03C021,ATOKA,HARMONY,2014,0,.85470086,4013830,0,0,0,1,.32984293,0,.041884817,0,.62827224,.67094016,.32905984,.012820513,.2905983,234,16.25,1,0
03C022,ATOKA,LANE,2012,0,0,4017040,0,0,0,1,.58709675,.012903226,.070967741,0,.32903227,.68000001,.31999999,0,.30666667,225,15.306123,1,0
03C022,ATOKA,LANE,2014,0,0,4017040,0,0,0,1,.47033897,.012711864,.025423728,0,.49152544,.7037037,.2962963,0,.3905724,297,15.549738,1,0
03C022,ATOKA,LANE,2015,0,.3533569,4017040,0,0,0,1,.48319328,.012605042,.021008404,0,.48319328,.6042403,.3957597,0,.40636042,283,13.579655,1,0
03C022,ATOKA,LANE,2009,0,0,4017040,0,0,0,1,.62280703,0,.0087719299,.01754386,.3508772,.66666669,.33333331,0,0,195,13.9,1,0
